"Time","Value","Units","Var","EPU","SOE 2018"
2012,1000500,"N","aquaculture MD oyster harvest N","All","Y"
2013,6658800,"N","aquaculture MD oyster harvest N","All","Y"
2014,10246500,"N","aquaculture MD oyster harvest N","All","Y"
2015,15191100,"N","aquaculture MD oyster harvest N","All","Y"
2016,19382700,"N","aquaculture MD oyster harvest N","All","Y"
1968,110.558133156104,"m","atlantic cod spring mean dteoc","All","N"
1969,112.228545379941,"m","atlantic cod spring mean dteoc","All","N"
1970,111.836590239859,"m","atlantic cod spring mean dteoc","All","N"
1971,109.709977422305,"m","atlantic cod spring mean dteoc","All","N"
1972,120.363027379227,"m","atlantic cod spring mean dteoc","All","N"
1973,102.163138794484,"m","atlantic cod spring mean dteoc","All","N"
1974,100.348122362604,"m","atlantic cod spring mean dteoc","All","N"
1975,95.8453731491031,"m","atlantic cod spring mean dteoc","All","N"
1976,110.037301936304,"m","atlantic cod spring mean dteoc","All","N"
1977,99.5206557759267,"m","atlantic cod spring mean dteoc","All","N"
1978,113.046559615706,"m","atlantic cod spring mean dteoc","All","N"
1979,119.073703252492,"m","atlantic cod spring mean dteoc","All","N"
1980,110.195383420112,"m","atlantic cod spring mean dteoc","All","N"
1981,122.192708066546,"m","atlantic cod spring mean dteoc","All","N"
1982,117.522283378144,"m","atlantic cod spring mean dteoc","All","N"
1983,104.075803643423,"m","atlantic cod spring mean dteoc","All","N"
1984,107.962284661118,"m","atlantic cod spring mean dteoc","All","N"
1985,121.614938353654,"m","atlantic cod spring mean dteoc","All","N"
1986,116.587469572517,"m","atlantic cod spring mean dteoc","All","N"
1987,122.766334163296,"m","atlantic cod spring mean dteoc","All","N"
1988,110.290796699079,"m","atlantic cod spring mean dteoc","All","N"
1989,108.670939902372,"m","atlantic cod spring mean dteoc","All","N"
1990,116.290911879935,"m","atlantic cod spring mean dteoc","All","N"
1991,132.487329100978,"m","atlantic cod spring mean dteoc","All","N"
1992,117.43152612431,"m","atlantic cod spring mean dteoc","All","N"
1993,114.989995840165,"m","atlantic cod spring mean dteoc","All","N"
1994,111.501008709361,"m","atlantic cod spring mean dteoc","All","N"
